,City Name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind,Country,Date
81,muros,42.78,-9.06,61.0,81.0,2.0,6.58,ES,1595554841.0
82,wichita falls,33.91,-98.49,91.4,49.0,1.0,6.93,US,1595554637.0
84,foki,56.69,54.35,58.23,98.0,100.0,7.61,RU,1595554842.0
85,zemio,5.03,25.14,65.7,95.0,6.0,0.51,CF,1595554842.0
86,nanortalik,60.14,-45.24,45.12,92.0,100.0,9.31,GL,1595554842.0
87,yumen,40.28,97.2,75.43,40.0,100.0,9.98,CN,1595554842.0
88,bauchi,10.5,10.0,71.87,90.0,100.0,2.08,NG,1595554842.0
89,ayan,56.45,138.17,57.6,71.0,95.0,14.65,RU,1595554842.0
90,atuona,-9.8,-139.03,79.48,76.0,32.0,18.59,PF,1595554842.0
91,sechura,-5.56,-80.82,63.75,79.0,28.0,17.78,PE,1595554843.0
93,presidencia roque saenz pena,-26.79,-60.44,49.69,89.0,100.0,10.71,AR,1595554843.0
94,norman wells,65.28,-126.83,62.6,59.0,75.0,10.29,CA,1595554843.0
95,the valley,18.22,-63.06,82.4,83.0,40.0,11.41,AI,1595554843.0
96,touros,-5.2,-35.46,75.2,88.0,75.0,6.93,BR,1595554843.0
97,nicoya,10.15,-85.45,75.85,91.0,100.0,3.09,CR,1595554843.0
98,doka,13.52,35.77,70.45,84.0,72.0,13.27,SD,1595554843.0
99,bambous virieux,-20.34,57.76,68.0,60.0,40.0,12.75,MU,1595554844.0
100,san cristobal,7.77,-72.22,64.96,92.0,88.0,2.19,VE,1595554844.0
102,georgetown,5.41,100.34,82.4,83.0,20.0,3.36,MY,1595554844.0
104,murchison,-41.8,172.33,45.12,77.0,90.0,3.13,NZ,1595554844.0
105,ribeira grande,38.52,-28.7,69.4,71.0,13.0,5.82,PT,1595554844.0
107,nieuw amsterdam,5.88,-55.08,78.01,92.0,99.0,1.01,SR,1595554845.0
108,nouadhibou,20.93,-17.03,75.2,78.0,28.0,13.87,MR,1595554845.0
109,salalah,17.02,54.09,78.8,94.0,75.0,8.05,OM,1595554845.0
111,nemuro,43.32,145.57,64.4,93.0,75.0,6.93,JP,1595554845.0
112,xinmin,41.99,122.83,82.4,69.0,100.0,2.24,CN,1595554762.0
113,calatayud,41.35,-1.64,71.6,46.0,32.0,6.93,ES,1595554845.0
114,ormara,25.21,64.64,84.56,81.0,100.0,15.21,PK,1595554845.0
115,taunggyi,20.78,97.03,70.84,89.0,94.0,3.06,MM,1595554846.0
116,east london,-33.02,27.91,60.93,34.0,0.0,7.9,ZA,1595554846.0
117,ariquemes,-9.91,-63.04,76.75,54.0,41.0,0.36,BR,1595554846.0
119,khatanga,71.97,102.5,43.02,92.0,100.0,16.33,RU,1595554846.0
120,kodiak,57.79,-152.41,60.8,72.0,20.0,5.82,US,1595554846.0
121,sioux lookout,50.1,-91.92,77.0,41.0,40.0,6.93,CA,1595554846.0
122,anadyr,64.75,177.48,62.6,72.0,67.0,8.95,RU,1595554847.0
123,port alfred,-33.59,26.89,62.2,35.0,0.0,8.68,ZA,1595554847.0
124,tura,25.52,90.22,75.94,96.0,98.0,5.08,IN,1595554847.0
125,barrow,71.29,-156.79,39.2,93.0,90.0,10.29,US,1595554847.0
126,bucak,37.46,30.59,77.0,48.0,0.0,4.7,TR,1595554847.0
127,vung tau,10.35,107.08,79.11,82.0,100.0,6.29,VN,1595554602.0
128,cap-aux-meules,47.38,-61.86,64.4,93.0,40.0,4.7,CA,1595554847.0
129,puerto baquerizo moreno,-0.9,-89.6,68.74,87.0,100.0,9.86,EC,1595554808.0
130,yar-sale,66.83,70.83,55.44,67.0,26.0,10.36,RU,1595554848.0
132,carnarvon,-24.87,113.63,64.4,55.0,0.0,14.99,AU,1595554848.0
133,necochea,-38.55,-58.74,46.99,33.0,90.0,11.99,AR,1595554848.0
134,kutum,14.2,24.67,73.06,73.0,56.0,18.39,SD,1595554848.0
135,qaanaaq,77.48,-69.36,46.63,55.0,0.0,3.24,GL,1595554848.0
136,panalingaan,8.78,117.42,84.06,72.0,100.0,3.0,PH,1595554848.0
137,avarua,-21.21,-159.78,75.2,88.0,1.0,6.93,CK,1595554637.0
138,pangnirtung,66.15,-65.71,51.94,74.0,69.0,2.53,CA,1595554849.0
139,dingle,11.0,122.67,86.27,69.0,100.0,1.86,PH,1595554849.0
140,chokurdakh,70.63,147.92,77.43,47.0,87.0,3.94,RU,1595554849.0
141,torbay,47.67,-52.73,66.0,68.0,90.0,17.22,CA,1595554849.0
142,ishigaki,24.34,124.16,89.6,79.0,75.0,13.87,JP,1595554849.0
143,aksu,41.12,80.26,81.03,26.0,0.0,5.39,CN,1595554849.0
144,pevek,69.7,170.31,48.36,71.0,79.0,8.72,RU,1595554849.0
145,collie,-33.37,116.15,54.0,79.0,0.0,4.09,AU,1595554850.0
146,puerto ayora,-0.74,-90.35,66.99,97.0,79.0,4.0,EC,1595554808.0
147,nizhniy tsasuchey,50.52,115.13,78.26,57.0,100.0,8.63,RU,1595554850.0
148,dunedin,-45.87,170.5,48.0,53.0,49.0,21.0,NZ,1595554850.0
149,ballina,-28.87,153.57,61.0,87.0,90.0,4.7,AU,1595554850.0
150,stawell,-37.05,142.77,48.22,72.0,97.0,12.26,AU,1595554850.0
151,faanui,-16.48,-151.75,77.4,81.0,1.0,21.47,PF,1595554850.0
152,port blair,11.67,92.75,77.0,94.0,40.0,2.98,IN,1595554566.0
153,hami,42.8,93.45,78.78,43.0,96.0,2.84,CN,1595554851.0
154,iqaluit,63.75,-68.51,55.4,66.0,90.0,6.93,CA,1595554588.0
155,tasiilaq,65.61,-37.64,37.4,93.0,99.0,5.82,GL,1595554851.0
156,caravelas,-17.71,-39.25,71.44,90.0,100.0,8.34,BR,1595554851.0
157,lorengau,-2.02,147.27,84.65,76.0,73.0,10.33,PG,1595554851.0
